1,1000.000,0.000,100.000,1001;CODE 100,L
560,520.000,1900.000,100.000,3791;CODE 379,
561,500.000,1750.000,100.000,3801;CODE 380,L
562,500.000,1900.000,100.000,3801;CODE 380,
563,480.000,1750.000,100.000,3811;CODE 381,L
564,480.000,1900.000,100.000,3811;CODE 381,
565,460.000,1750.000,100.000,3821;CODE 382,L
566,460.000,1900.000,100.000,3821;CODE 382,
567,440.000,1750.000,100.000,3831;CODE 383,L
568,440.000,1900.000,100.000,3831;CODE 383,
569,420.000,1750.000,100.000,3841;CODE 384,L
570,420.000,1900.000,100.000,3841;CODE 384,
571,400.000,1750.000,100.000,3851;CODE 385,L
572,400.000,1900.000,100.000,3851;CODE 385,
573,380.000,1750.000,100.000,3861;CODE 386,L
574,380.000,1900.000,100.000,3861;CODE 386,
575,360.000,1750.000,100.000,3871;CODE 387,L
576,360.000,1900.000,100.000,3871;CODE 387,
577,340.000,1750.000,100.000,3881;CODE 388,L
578,340.000,1900.000,100.000,3881;CODE 388,
579,320.000,1750.000,100.000,3891;CODE 389,L
580,320.000,1900.000,100.000,3891;CODE 389,
581,300.000,1750.000,100.000,3901;CODE 390,L
582,300.000,1900.000,100.000,3901;CODE 390,
583,280.000,1750.000,100.000,3911;CODE 391,L
584,280.000,1900.000,100.000,3911;CODE 391,
585,260.000,1750.000,100.000,3921;CODE 392,L
586,260.000,1900.000,100.000,3921;CODE 392,
587,240.000,1750.000,100.000,3931;CODE 393,L
588,240.000,1900.000,100.000,3931;CODE 393,
589,220.000,1750.000,100.000,3941;CODE 394,L
590,220.000,1900.000,100.000,3941;CODE 394,
591,200.000,1750.000,100.000,3951;CODE 395,L
592,200.000,1900.000,100.000,3951;CODE 395,
593,180.000,1750.000,100.000,3961;CODE 396,L
594,180.000,1900.000,100.000,3961;CODE 396,
595,160.000,1750.000,100.000,3971;CODE 397,L
596,160.000,1900.000,100.000,3971;CODE 397,
597,140.000,1750.000,100.000,3981;CODE 398,L
598,140.000,1900.000,100.000,3981;CODE 398,
599,120.000,1750.000,100.000,3991;CODE 399,L
600,120.000,1900.000,100.000,3991;CODE 399,
601,100.000,1750.000,100.000,4001;CODE 400,L
602,100.000,1900.000,100.000,4001;CODE 400,
603,80.000,1750.000,100.000,4011;CODE 401,L
604,80.000,1900.000,100.000,4011;CODE 401,
605,60.000,1750.000,100.000,4021;CODE 402,L
606,60.000,1900.000,100.000,4021;CODE 402,
607,40.000,1750.000,100.000,4031;CODE 403,L
608,40.000,1900.000,100.000,4031;CODE 403,
609,20.000,1750.000,100.000,4041;CODE 404,L
610,20.000,1900.000,100.000,4041;CODE 404,
611,0.000,1750.000,100.000,4051;CODE 405,L
612,0.000,1900.000,100.000,4051;CODE 405,
613,1000.000,2100.000,100.000,4061;CODE 406,L
614,1000.000,2250.000,100.000,4061;CODE 406,
615,980.000,2100.000,100.000,4071;CODE 407,L
616,980.000,2250.000,100.000,4071;CODE 407,
617,960.000,2100.000,100.000,4081;CODE 408,L
618,960.000,2250.000,100.000,4081;CODE 408,
619,940.000,2100.000,100.000,4091;CODE 409,L
620,940.000,2250.000,100.000,4091;CODE 409,
621,920.000,2100.000,100.000,4101;CODE 410,L
622,920.000,2250.000,100.000,4101;CODE 410,
623,900.000,2100.000,100.000,4111;CODE 411,L
624,900.000,2250.000,100.000,4111;CODE 411,
625,880.000,2100.000,100.000,4121;CODE 412,L
626,880.000,2250.000,100.000,4121;CODE 412,
627,860.000,2100.000,100.000,4131;CODE 413,L
628,860.000,2250.000,100.000,4131;CODE 413,
629,840.000,2100.000,100.000,4141;CODE 414,L
630,840.000,2250.000,100.000,4141;CODE 414,
631,820.000,2100.000,100.000,4151;CODE 415,L
632,820.000,2250.000,100.000,4151;CODE 415,
633,800.000,2100.000,100.000,4161;CODE 416,L
634,800.000,2250.000,100.000,4161;CODE 416,
635,780.000,2100.000,100.000,4171;CODE 417,L
636,780.000,2250.000,100.000,4171;CODE 417,
637,760.000,2100.000,100.000,4181;CODE 418,L
638,760.000,2250.000,100.000,4181;CODE 418,
639,740.000,2100.000,100.000,4191;CODE 419,L
640,740.000,2250.000,100.000,4191;CODE 419,
641,720.000,2100.000,100.000,4201;CODE 420,L
642,720.000,2250.000,100.000,4201;CODE 420,
643,700.000,2100.000,100.000,4211;CODE 421,L
644,700.000,2250.000,100.000,4211;CODE 421,
645,680.000,2100.000,100.000,4221;CODE 422,L
646,680.000,2250.000,100.000,4221;CODE 422,
647,660.000,2100.000,100.000,4231;CODE 423,L
648,660.000,2250.000,100.000,4231;CODE 423,
649,640.000,2100.000,100.000,4241;CODE 424,L
650,640.000,2250.000,100.000,4241;CODE 424,
651,620.000,2100.000,100.000,4251;CODE 425,L
652,620.000,2250.000,100.000,4251;CODE 425,
653,600.000,2100.000,100.000,4261;CODE 426,L
654,600.000,2250.000,100.000,4261;CODE 426,
655,580.000,2100.000,100.000,4271;CODE 427,L
656,580.000,2250.000,100.000,4271;CODE 427,
657,560.000,2100.000,100.000,4281;CODE 428,L
658,560.000,2250.000,100.000,4281;CODE 428,
659,540.000,2100.000,100.000,4291;CODE 429,L
660,540.000,2250.000,100.000,4291;CODE 429,
661,520.000,2100.000,100.000,4301;CODE 430,L
662,520.000,2250.000,100.000,4301;CODE 430,
663,500.000,2100.000,100.000,4311;CODE 431,L
664,500.000,2250.000,100.000,4311;CODE 431,
665,480.000,2100.000,100.000,4321;CODE 432,L
666,480.000,2250.000,100.000,4321;CODE 432,
667,460.000,2100.000,100.000,4331;CODE 433,L
668,460.000,2250.000,100.000,4331;CODE 433,
669,440.000,2100.000,100.000,4341;CODE 434,L
670,440.000,2250.000,100.000,4341;CODE 434,
671,420.000,2100.000,100.000,4351;CODE 435,L
672,420.000,2250.000,100.000,4351;CODE 435,
673,400.000,2100.000,100.000,4361;CODE 436,L
674,400.000,2250.000,100.000,4361;CODE 436,
675,380.000,2100.000,100.000,4371;CODE 437,L
676,380.000,2250.000,100.000,4371;CODE 437,
677,360.000,2100.000,100.000,4381;CODE 438,L
678,360.000,2250.000,100.000,4381;CODE 438,
679,340.000,2100.000,100.000,4391;CODE 439,L
680,340.000,2250.000,100.000,4391;CODE 439,
681,320.000,2100.000,100.000,4401;CODE 440,L
682,320.000,2250.000,100.000,4401;CODE 440,
683,300.000,2100.000,100.000,4411;CODE 441,L
684,300.000,2250.000,100.000,4411;CODE 441,
685,280.000,2100.000,100.000,4421;CODE 442,L
686,280.000,2250.000,100.000,4421;CODE 442,
687,260.000,2100.000,100.000,4431;CODE 443,L
688,260.000,2250.000,100.000,4431;CODE 443,
689,240.000,2100.000,100.000,4441;CODE 444,L
690,240.000,2250.000,100.000,4441;CODE 444,
691,220.000,2100.000,100.000,4451;CODE 445,L
692,220.000,2250.000,100.000,4451;CODE 445,
693,200.000,2100.000,100.000,4461;CODE 446,L
694,200.000,2250.000,100.000,4461;CODE 446,
695,180.000,2100.000,100.000,4471;CODE 447,L
696,180.000,2250.000,100.000,4471;CODE 447,
697,160.000,2100.000,100.000,4481;CODE 448,L
698,160.000,2250.000,100.000,4481;CODE 448,
699,140.000,2100.000,100.000,4491;CODE 449,L
700,140.000,2250.000,100.000,4491;CODE 449,
701,120.000,2100.000,100.000,4501;CODE 450,L
702,120.000,2250.000,100.000,4501;CODE 450,
703,100.000,2100.000,100.000,4511;CODE 451,L
704,100.000,2250.000,100.000,4511;CODE 451,
705,80.000,2100.000,100.000,4521;CODE 452,L
706,80.000,2250.000,100.000,4521;CODE 452,
707,60.000,2100.000,100.000,4531;CODE 453,L
708,60.000,2250.000,100.000,4531;CODE 453,
709,40.000,2100.000,100.000,4541;CODE 454,L
710,40.000,2250.000,100.000,4541;CODE 454,
711,20.000,2100.000,100.000,4551;CODE 455,L
712,20.000,2250.000,100.000,4551;CODE 455,
713,0.000,2100.000,100.000,4561;CODE 456,L
714,0.000,2250.000,100.000,4561;CODE 456,
715,1000.000,2450.000,100.000,4571;CODE 457,L
716,1000.000,2600.000,100.000,4571;CODE 457,
717,980.000,2450.000,100.000,4581;CODE 458,L
718,980.000,2600.000,100.000,4581;CODE 458,
719,960.000,2450.000,100.000,4591;CODE 459,L
720,960.000,2600.000,100.000,4591;CODE 459,
721,940.000,2450.000,100.000,4601;CODE 460,L
722,940.000,2600.000,100.000,4601;CODE 460,
723,920.000,2450.000,100.000,4611;CODE 461,L
724,920.000,2600.000,100.000,4611;CODE 461,
725,900.000,2450.000,100.000,4621;CODE 462,L
726,900.000,2600.000,100.000,4621;CODE 462,
727,880.000,2450.000,100.000,4631;CODE 463,L
728,880.000,2600.000,100.000,4631;CODE 463,
729,860.000,2450.000,100.000,4641;CODE 464,L
730,860.000,2600.000,100.000,4641;CODE 464,
731,840.000,2450.000,100.000,4651;CODE 465,L
732,840.000,2600.000,100.000,4651;CODE 465,
733,820.000,2450.000,100.000,4661;CODE 466,L
734,820.000,2600.000,100.000,4661;CODE 466,
735,800.000,2450.000,100.000,4671;CODE 467,L
736,800.000,2600.000,100.000,4671;CODE 467,
737,780.000,2450.000,100.000,4681;CODE 468,L
738,780.000,2600.000,100.000,4681;CODE 468,
739,760.000,2450.000,100.000,4691;CODE 469,L
740,760.000,2600.000,100.000,4691;CODE 469,
741,740.000,2450.000,100.000,4701;CODE 470,L
742,740.000,2600.000,100.000,4701;CODE 470,
743,720.000,2450.000,100.000,4711;CODE 471,L
744,720.000,2600.000,100.000,4711;CODE 471,
745,700.000,2450.000,100.000,4721;CODE 472,L
746,700.000,2600.000,100.000,4721;CODE 472,
747,680.000,2450.000,100.000,4731;CODE 473,L
748,680.000,2600.000,100.000,4731;CODE 473,
749,660.000,2450.000,100.000,4741;CODE 474,L
750,660.000,2600.000,100.000,4741;CODE 474,
751,640.000,2450.000,100.000,4751;CODE 475,L
752,640.000,2600.000,100.000,4751;CODE 475,
753,620.000,2450.000,100.000,4761;CODE 476,L
754,620.000,2600.000,100.000,4761;CODE 476,
755,600.000,2450.000,100.000,4771;CODE 477,L
756,600.000,2600.000,100.000,4771;CODE 477,
757,580.000,2450.000,100.000,4781;CODE 478,L
758,580.000,2600.000,100.000,4781;CODE 478,
759,560.000,2450.000,100.000,4791;CODE 479,L
760,560.000,2600.000,100.000,4791;CODE 479,
761,540.000,2450.000,100.000,4801;CODE 480,L
762,540.000,2600.000,100.000,4801;CODE 480,
763,520.000,2450.000,100.000,4811;CODE 481,L
764,520.000,2600.000,100.000,4811;CODE 481,
765,500.000,2450.000,100.000,4821;CODE 482,L
766,500.000,2600.000,100.000,4821;CODE 482,
767,480.000,2450.000,100.000,4831;CODE 483,L
768,480.000,2600.000,100.000,4831;CODE 483,
769,460.000,2450.000,100.000,4841;CODE 484,L
770,460.000,2600.000,100.000,4841;CODE 484,
771,440.000,2450.000,100.000,4851;CODE 485,L
772,440.000,2600.000,100.000,4851;CODE 485,
773,420.000,2450.000,100.000,4861;CODE 486,L
774,420.000,2600.000,100.000,4861;CODE 486,
775,400.000,2450.000,100.000,4871;CODE 487,L
776,400.000,2600.000,100.000,4871;CODE 487,
777,380.000,2450.000,100.000,4881;CODE 488,L
778,380.000,2600.000,100.000,4881;CODE 488,
779,360.000,2450.000,100.000,4891;CODE 489,L
780,360.000,2600.000,100.000,4891;CODE 489,
781,340.000,2450.000,100.000,4901;CODE 490,L
782,340.000,2600.000,100.000,4901;CODE 490,
783,320.000,2450.000,100.000,4911;CODE 491,L
784,320.000,2600.000,100.000,4911;CODE 491,
785,300.000,2450.000,100.000,4921;CODE 492,L
786,300.000,2600.000,100.000,4921;CODE 492,
787,280.000,2450.000,100.000,4931;CODE 493,L
788,280.000,2600.000,100.000,4931;CODE 493,
789,260.000,2450.000,100.000,4941;CODE 494,L
790,260.000,2600.000,100.000,4941;CODE 494,
791,240.000,2450.000,100.000,4951;CODE 495,L
792,240.000,2600.000,100.000,4951;CODE 495,
793,220.000,2450.000,100.000,4961;CODE 496,L
794,220.000,2600.000,100.000,4961;CODE 496,
795,200.000,2450.000,100.000,4971;CODE 497,L
796,200.000,2600.000,100.000,4971;CODE 497,
797,180.000,2450.000,100.000,4981;CODE 498,L
798,180.000,2600.000,100.000,4981;CODE 498,
799,160.000,2450.000,100.000,4991;CODE 499,L
800,160.000,2600.000,100.000,4991;CODE 499,
801,140.000,2450.000,100.000,5001;CODE 500,L
802,140.000,2600.000,100.000,5001;CODE 500,
803,120.000,2450.000,100.000,5011;CODE 501,L
804,120.000,2600.000,100.000,5011;CODE 501,
805,100.000,2450.000,100.000,5021;CODE 502,L
806,100.000,2600.000,100.000,5021;CODE 502,
807,80.000,2450.000,100.000,5031;CODE 503,L
808,80.000,2600.000,100.000,5031;CODE 503,
809,60.000,2450.000,100.000,5041;CODE 504,L
810,60.000,2600.000,100.000,5041;CODE 504,
811,40.000,2450.000,100.000,5051;CODE 505,L
812,40.000,2600.000,100.000,5051;CODE 505,
813,20.000,2450.000,100.000,5061;CODE 506,L
814,20.000,2600.000,100.000,5061;CODE 506,
815,0.000,2450.000,100.000,5071;CODE 507,L
816,0.000,2600.000,100.000,5071;CODE 507,
817,1000.000,2800.000,100.000,5081;CODE 508,L
818,1000.000,2950.000,100.000,5081;CODE 508,
819,980.000,2800.000,100.000,5091;CODE 509,L
820,980.000,2950.000,100.000,5091;CODE 509,
821,960.000,2800.000,100.000,5101;CODE 510,L
822,960.000,2950.000,100.000,5101;CODE 510,
823,940.000,2800.000,100.000,5111;CODE 511,L
824,940.000,2950.000,100.000,5111;CODE 511,
825,920.000,2800.000,100.000,5121;CODE 512,L
826,920.000,2950.000,100.000,5121;CODE 512,
827,900.000,2800.000,100.000,5131;CODE 513,L
828,900.000,2950.000,100.000,5131;CODE 513,
829,880.000,2800.000,100.000,5141;CODE 514,L
830,880.000,2950.000,100.000,5141;CODE 514,
831,860.000,2800.000,100.000,5151;CODE 515,L
832,860.000,2950.000,100.000,5151;CODE 515,
833,840.000,2800.000,100.000,5161;CODE 516,L
834,840.000,2950.000,100.000,5161;CODE 516,
835,820.000,2800.000,100.000,5171;CODE 517,L
836,820.000,2950.000,100.000,5171;CODE 517,
837,800.000,2800.000,100.000,5181;CODE 518,L
838,800.000,2950.000,100.000,5181;CODE 518,
839,780.000,2800.000,100.000,5191;CODE 519,L
840,780.000,2950.000,100.000,5191;CODE 519,
841,760.000,2800.000,100.000,5201;CODE 520,L
842,760.000,2950.000,100.000,5201;CODE 520,
843,740.000,2800.000,100.000,5211;CODE 521,L
844,740.000,2950.000,100.000,5211;CODE 521,
845,720.000,2800.000,100.000,5221;CODE 522,L
846,720.000,2950.000,100.000,5221;CODE 522,
847,700.000,2800.000,100.000,5231;CODE 523,L
848,700.000,2950.000,100.000,5231;CODE 523,
849,680.000,2800.000,100.000,5241;CODE 524,L
850,680.000,2950.000,100.000,5241;CODE 524,
851,660.000,2800.000,100.000,5251;CODE 525,L
852,660.000,2950.000,100.000,5251;CODE 525,
853,640.000,2800.000,100.000,5261;CODE 526,L
854,640.000,2950.000,100.000,5261;CODE 526,
855,620.000,2800.000,100.000,5271;CODE 527,L
856,620.000,2950.000,100.000,5271;CODE 527,
857,600.000,2800.000,100.000,5281;CODE 528,L
858,600.000,2950.000,100.000,5281;CODE 528,
859,580.000,2800.000,100.000,5291;CODE 529,L
860,580.000,2950.000,100.000,5291;CODE 529,
861,560.000,2800.000,100.000,5301;CODE 530,L
862,560.000,2950.000,100.000,5301;CODE 530,
863,540.000,2800.000,100.000,5311;CODE 531,L
864,540.000,2950.000,100.000,5311;CODE 531,
865,520.000,2800.000,100.000,5321;CODE 532,L
866,520.000,2950.000,100.000,5321;CODE 532,
867,500.000,2800.000,100.000,5331;CODE 533,L
868,500.000,2950.000,100.000,5331;CODE 533,
869,480.000,2800.000,100.000,5341;CODE 534,L
870,480.000,2950.000,100.000,5341;CODE 534,
871,460.000,2800.000,100.000,5351;CODE 535,L
872,460.000,2950.000,100.000,5351;CODE 535,
873,440.000,2800.000,100.000,5361;CODE 536,L
874,440.000,2950.000,100.000,5361;CODE 536,
875,420.000,2800.000,100.000,5371;CODE 537,L
876,420.000,2950.000,100.000,5371;CODE 537,
877,400.000,2800.000,100.000,5381;CODE 538,L
878,400.000,2950.000,100.000,5381;CODE 538,
879,380.000,2800.000,100.000,5391;CODE 539,L
880,380.000,2950.000,100.000,5391;CODE 539,
881,360.000,2800.000,100.000,5401;CODE 540,L
882,360.000,2950.000,100.000,5401;CODE 540,
883,340.000,2800.000,100.000,5411;CODE 541,L
884,340.000,2950.000,100.000,5411;CODE 541,
885,320.000,2800.000,100.000,5421;CODE 542,L
886,320.000,2950.000,100.000,5421;CODE 542,
887,300.000,2800.000,100.000,5431;CODE 543,L
888,300.000,2950.000,100.000,5431;CODE 543,
889,280.000,2800.000,100.000,5441;CODE 544,L
890,280.000,2950.000,100.000,5441;CODE 544,
891,260.000,2800.000,100.000,5451;CODE 545,L
892,260.000,2950.000,100.000,5451;CODE 545,
893,240.000,2800.000,100.000,5461;CODE 546,L
894,240.000,2950.000,100.000,5461;CODE 546,
895,220.000,2800.000,100.000,5471;CODE 547,L
896,220.000,2950.000,100.000,5471;CODE 547,
897,200.000,2800.000,100.000,5481;CODE 548,L
898,200.000,2950.000,100.000,5481;CODE 548,
899,180.000,2800.000,100.000,5491;CODE 549,L
900,180.000,2950.000,100.000,5491;CODE 549,
901,160.000,2800.000,100.000,5501;CODE 550,L
902,160.000,2950.000,100.000,5501;CODE 550,
903,140.000,2800.000,100.000,5511;CODE 551,L
904,140.000,2950.000,100.000,5511;CODE 551,
905,120.000,2800.000,100.000,5521;CODE 552,L
906,120.000,2950.000,100.000,5521;CODE 552,
907,100.000,2800.000,100.000,5531;CODE 553,L
908,100.000,2950.000,100.000,5531;CODE 553,
909,80.000,2800.000,100.000,5541;CODE 554,L
910,80.000,2950.000,100.000,5541;CODE 554,
911,60.000,2800.000,100.000,5551;CODE 555,L
912,60.000,2950.000,100.000,5551;CODE 555,
913,40.000,2800.000,100.000,5561;CODE 556,L
914,40.000,2950.000,100.000,5561;CODE 556,
915,20.000,2800.000,100.000,5571;CODE 557,L
916,20.000,2950.000,100.000,5571;CODE 557,
917,0.000,2800.000,100.000,5581;CODE 558,L
918,0.000,2950.000,100.000,5581;CODE 558,
919,1000.000,3150.000,100.000,5591;CODE 559,L
920,1000.000,3300.000,100.000,5591;CODE 559,
921,980.000,3150.000,100.000,5601;CODE 560,L
922,980.000,3300.000,100.000,5601;CODE 560,
923,960.000,3150.000,100.000,5611;CODE 561,L
924,960.000,3300.000,100.000,5611;CODE 561,
925,940.000,3150.000,100.000,5621;CODE 562,L
926,940.000,3300.000,100.000,5621;CODE 562,
927,920.000,3150.000,100.000,5631;CODE 563,L
928,920.000,3300.000,100.000,5631;CODE 563,
929,900.000,3150.000,100.000,5641;CODE 564,L
930,900.000,3300.000,100.000,5641;CODE 564,
931,880.000,3150.000,100.000,5651;CODE 565,L
932,880.000,3300.000,100.000,5651;CODE 565,
933,860.000,3150.000,100.000,5661;CODE 566,L
934,860.000,3300.000,100.000,5661;CODE 566,
935,840.000,3150.000,100.000,5671;CODE 567,L
936,840.000,3300.000,100.000,5671;CODE 567,
937,820.000,3150.000,100.000,5681;CODE 568,L
938,820.000,3300.000,100.000,5681;CODE 568,
939,800.000,3150.000,100.000,5691;CODE 569,L
940,800.000,3300.000,100.000,5691;CODE 569,
941,780.000,3150.000,100.000,5701;CODE 570,L
942,780.000,3300.000,100.000,5701;CODE 570,
943,760.000,3150.000,100.000,5711;CODE 571,L
944,760.000,3300.000,100.000,5711;CODE 571,
945,740.000,3150.000,100.000,5721;CODE 572,L
946,740.000,3300.000,100.000,5721;CODE 572,
947,720.000,3150.000,100.000,5731;CODE 573,L
948,720.000,3300.000,100.000,5731;CODE 573,
949,700.000,3150.000,100.000,5741;CODE 574,L
950,700.000,3300.000,100.000,5741;CODE 574,
951,680.000,3150.000,100.000,5751;CODE 575,L
952,680.000,3300.000,100.000,5751;CODE 575,
953,660.000,3150.000,100.000,5761;CODE 576,L
954,660.000,3300.000,100.000,5761;CODE 576,
955,640.000,3150.000,100.000,5771;CODE 577,L
956,640.000,3300.000,100.000,5771;CODE 577,
957,620.000,3150.000,100.000,5781;CODE 578,L
958,620.000,3300.000,100.000,5781;CODE 578,
959,600.000,3150.000,100.000,5791;CODE 579,L
960,600.000,3300.000,100.000,5791;CODE 579,
961,580.000,3150.000,100.000,5801;CODE 580,L
962,580.000,3300.000,100.000,5801;CODE 580,
963,560.000,3150.000,100.000,5811;CODE 581,L
964,560.000,3300.000,100.000,5811;CODE 581,
965,540.000,3150.000,100.000,5821;CODE 582,L
966,540.000,3300.000,100.000,5821;CODE 582,
967,520.000,3150.000,100.000,5831;CODE 583,L
968,520.000,3300.000,100.000,5831;CODE 583,
969,500.000,3150.000,100.000,5841;CODE 584,L
970,500.000,3300.000,100.000,5841;CODE 584,
971,480.000,3150.000,100.000,5851;CODE 585,L
972,480.000,3300.000,100.000,5851;CODE 585,
973,460.000,3150.000,100.000,5861;CODE 586,L
974,460.000,3300.000,100.000,5861;CODE 586,
975,440.000,3150.000,100.000,5871;CODE 587,L
976,440.000,3300.000,100.000,5871;CODE 587,
977,420.000,3150.000,100.000,5881;CODE 588,L
978,420.000,3300.000,100.000,5881;CODE 588,
979,400.000,3150.000,100.000,5891;CODE 589,L
980,400.000,3300.000,100.000,5891;CODE 589,
981,380.000,3150.000,100.000,5901;CODE 590,L
982,380.000,3300.000,100.000,5901;CODE 590,
983,360.000,3150.000,100.000,5911;CODE 591,L
984,360.000,3300.000,100.000,5911;CODE 591,
985,340.000,3150.000,100.000,5921;CODE 592,L
986,340.000,3300.000,100.000,5921;CODE 592,
987,320.000,3150.000,100.000,5931;CODE 593,L
988,320.000,3300.000,100.000,5931;CODE 593,
989,300.000,3150.000,100.000,5941;CODE 594,L
990,300.000,3300.000,100.000,5941;CODE 594,
991,280.000,3150.000,100.000,5951;CODE 595,L
992,280.000,3300.000,100.000,5951;CODE 595,
993,260.000,3150.000,100.000,5961;CODE 596,L
994,260.000,3300.000,100.000,5961;CODE 596,
995,240.000,3150.000,100.000,5971;CODE 597,L
996,240.000,3300.000,100.000,5971;CODE 597,
997,220.000,3150.000,100.000,5981;CODE 598,L
998,220.000,3300.000,100.000,5981;CODE 598,
999,200.000,3150.000,100.000,5991;CODE 599,L
1000,200.000,3300.000,100.000,5991;CODE 599,
1001,180.000,3150.000,100.000,6001;CODE 600,L
1002,180.000,3300.000,100.000,6001;CODE 600,
1003,160.000,3150.000,100.000,6011;CODE 601,L
1004,160.000,3300.000,100.000,6011;CODE 601,
1005,140.000,3150.000,100.000,6021;CODE 602,L
1006,140.000,3300.000,100.000,6021;CODE 602,
1007,120.000,3150.000,100.000,6031;CODE 603,L
1008,120.000,3300.000,100.000,6031;CODE 603,
1009,100.000,3150.000,100.000,6041;CODE 604,L
1010,100.000,3300.000,100.000,6041;CODE 604,
1011,80.000,3150.000,100.000,6051;CODE 605,L
1012,80.000,3300.000,100.000,6051;CODE 605,
1013,60.000,3150.000,100.000,6061;CODE 606,L
1014,60.000,3300.000,100.000,6061;CODE 606,
1015,40.000,3150.000,100.000,6071;CODE 607,L
1016,40.000,3300.000,100.000,6071;CODE 607,
1017,20.000,3150.000,100.000,6081;CODE 608,L
1018,20.000,3300.000,100.000,6081;CODE 608,
1019,0.000,3150.000,100.000,6091;CODE 609,L
1020,0.000,3300.000,100.000,6091;CODE 609,
1021,1000.000,3500.000,100.000,6101;CODE 610,L
1022,1000.000,3650.000,100.000,6101;CODE 610,
1023,980.000,3500.000,100.000,6111;CODE 611,L
1024,980.000,3650.000,100.000,6111;CODE 611,
1025,960.000,3500.000,100.000,6121;CODE 612,L
1026,960.000,3650.000,100.000,6121;CODE 612,
1027,940.000,3500.000,100.000,6131;CODE 613,L
1028,940.000,3650.000,100.000,6131;CODE 613,
1029,920.000,3500.000,100.000,6141;CODE 614,L
1030,920.000,3650.000,100.000,6141;CODE 614,
1031,900.000,3500.000,100.000,6151;CODE 615,L
1032,900.000,3650.000,100.000,6151;CODE 615,
1033,880.000,3500.000,100.000,6161;CODE 616,L
1034,880.000,3650.000,100.000,6161;CODE 616,
1035,860.000,3500.000,100.000,6171;CODE 617,L
1036,860.000,3650.000,100.000,6171;CODE 617,
1037,840.000,3500.000,100.000,6181;CODE 618,L
1038,840.000,3650.000,100.000,6181;CODE 618,
1039,820.000,3500.000,100.000,6191;CODE 619,L
1040,820.000,3650.000,100.000,6191;CODE 619,
1041,800.000,3500.000,100.000,6201;CODE 620,L
1042,800.000,3650.000,100.000,6201;CODE 620,
1043,780.000,3500.000,100.000,6211;CODE 621,L
1044,780.000,3650.000,100.000,6211;CODE 621,
1045,760.000,3500.000,100.000,6221;CODE 622,L
1046,760.000,3650.000,100.000,6221;CODE 622,
1047,740.000,3500.000,100.000,6231;CODE 623,L
1048,740.000,3650.000,100.000,6231;CODE 623,
1049,720.000,3500.000,100.000,6241;CODE 624,L
1050,720.000,3650.000,100.000,6241;CODE 624,
1051,700.000,3500.000,100.000,6251;CODE 625,L
1052,700.000,3650.000,100.000,6251;CODE 625,
1053,680.000,3500.000,100.000,6261;CODE 626,L
1054,680.000,3650.000,100.000,6261;CODE 626,
1055,660.000,3500.000,100.000,6271;CODE 627,L
1056,660.000,3650.000,100.000,6271;CODE 627,
1057,640.000,3500.000,100.000,6281;CODE 628,L
1058,640.000,3650.000,100.000,6281;CODE 628,
1059,620.000,3500.000,100.000,6291;CODE 629,L
1060,620.000,3650.000,100.000,6291;CODE 629,
1061,600.000,3500.000,100.000,6301;CODE 630,L
1062,600.000,3650.000,100.000,6301;CODE 630,
1063,580.000,3500.000,100.000,6311;CODE 631,L
1064,580.000,3650.000,100.000,6311;CODE 631,
1065,560.000,3500.000,100.000,6321;CODE 632,L
1066,560.000,3650.000,100.000,6321;CODE 632,
1067,540.000,3500.000,100.000,6331;CODE 633,L
1068,540.000,3650.000,100.000,6331;CODE 633,
1069,520.000,3500.000,100.000,6341;CODE 634,L
1070,520.000,3650.000,100.000,6341;CODE 634,
1071,500.000,3500.000,100.000,6351;CODE 635,L
1072,500.000,3650.000,100.000,6351;CODE 635,
1073,480.000,3500.000,100.000,6361;CODE 636,L
1074,480.000,3650.000,100.000,6361;CODE 636,
1075,460.000,3500.000,100.000,6371;CODE 637,L
1076,460.000,3650.000,100.000,6371;CODE 637,
1077,440.000,3500.000,100.000,6381;CODE 638,L
1078,440.000,3650.000,100.000,6381;CODE 638,
1079,420.000,3500.000,100.000,6391;CODE 639,L
1080,420.000,3650.000,100.000,6391;CODE 639,
1081,400.000,3500.000,100.000,6401;CODE 640,L
1082,400.000,3650.000,100.000,6401;CODE 640,
1083,380.000,3500.000,100.000,6411;CODE 641,L
1084,380.000,3650.000,100.000,6411;CODE 641,
1085,360.000,3500.000,100.000,6421;CODE 642,L
1086,360.000,3650.000,100.000,6421;CODE 642,
1087,340.000,3500.000,100.000,6431;CODE 643,L
1088,340.000,3650.000,100.000,6431;CODE 643,
1089,320.000,3500.000,100.000,6441;CODE 644,L
1090,320.000,3650.000,100.000,6441;CODE 644,
1091,300.000,3500.000,100.000,6451;CODE 645,L
1092,300.000,3650.000,100.000,6451;CODE 645,
1093,280.000,3500.000,100.000,6461;CODE 646,L
1094,280.000,3650.000,100.000,6461;CODE 646,
1095,260.000,3500.000,100.000,6471;CODE 647,L
1096,260.000,3650.000,100.000,6471;CODE 647,
1097,240.000,3500.000,100.000,6481;CODE 648,L
1098,240.000,3650.000,100.000,6481;CODE 648,
1099,220.000,3500.000,100.000,6491;CODE 649,L
1100,220.000,3650.000,100.000,6491;CODE 649,
1101,200.000,3500.000,100.000,6501;CODE 650,L
1102,200.000,3650.000,100.000,6501;CODE 650,
